id,vendor,product_name,units,brand,current_price,price_per_unit,price_in_dollars
2329777,Metro,"Roasted Garlic Toasted Snack Bread, Baguettes",120g,Boulangerie Grissol,3.99,$3.32 /100g,3.32
2329924,Metro,"Banana Bread Soft Cookies, Bear Paws",240g,Dare,2/$5.50,$1.15 /100g,1.15
2330040,Metro,Italian Traditional Breadsticks,125g,Vita Vigor,2/$3.00,$1.20 /100g,1.2
2330043,Metro,Italian Sesame Breadsticks,125g,Vita Vigor,2/$3.00,$1.20 /100g,1.2
2330055,Metro,Italian Garlic Breadsticks,125g,Vita Vigor,2/$3.00,$1.20 /100g,1.2
2330056,Metro,Italian Multigrain Breadsticks,125g,Vita Vigor,2/$3.00,$1.20 /100g,1.2
2330477,Metro,"Thick Sliced Parmesan And Garlic Bread, Texas Toast",638g,Furlani,4.99,$0.78 /100g,0.78
2330510,Metro,"Thick Sliced Garlic Bread, Texas Toast",638g,Furlani,4.99,$0.78 /100g,0.78
2330605,Metro,Frozen English Style Breaded Pollock Fillets,350g,Catch of the Day,5.99,$1.71 /100g,1.71
2330606,Metro,Frozen Masala Chapatti Bread,300g,Shana,2.79,$0.93 /100g,0.93
2330609,Metro,"Frozen Breaded Chicken Nuggets, Zabiha Halal",800g,Maple Lodge Farms,11.99,$1.50 /100g,1.5
2330623,Metro,Frozen Cooked Breaded Seasoned Chicken Balls,800g,Watson Ridge,7.99,$1.00 /100g,1.0
2330625,Metro,Gluten Free Wide Sliced Whole Grain Bread,567g,Little Northern Bakehouse,9.29,$1.64 /100g,1.64
