id,vendor,product_name,units,brand,current_price,price_per_unit,price_in_dollars
2321572,Metro,3.8% Milk,2l,Rolling Meadow,7.29,$0.36 /100ml,0.36
2321576,Metro,2% Milk,2l,Rolling Meadow,7.29,$0.36 /100ml,0.36
2321579,Metro,"Chocolate And Caramel Flavoured Milkshake, Rolo",473ml,Nestlé,3.39,$0.72 /100ml,0.72
2321585,Metro,1% Chocolate Milk,750ml,Beatrice,2.99,$0.40 /100ml,0.4
2321588,Metro,2% Milk,2l,Beatrice,5.39,$0.27 /100ml,0.27
2321597,Metro,2% Milk,4l,Beatrice,6.09,$0.15 /100ml,0.15
2321606,Metro,3.25% Lactose Free Homogenized Milk,4l,Lactantia,9.99,$0.25 /100ml,0.25
2321608,Metro,3.25% Lactose Free Whole Milk,1.5l,Fairlife,6.99,$0.47 /100ml,0.47
2321609,Metro,2% Chocolate Milk,1.5l,Fairlife,6.99,$0.47 /100ml,0.47
2321610,Metro,2% Lactose Free Milk,1.5l,Fairlife,6.99,$0.47 /100ml,0.47
2321612,Metro,0% Lactose Free Skim Milk,1.5l,Fairlife,6.99,$0.47 /100ml,0.47
2321616,Metro,"3.8% Organic Whole Milk, Fine Filtered",4l,Natrel,10.99,$0.27 /100ml,0.27
2321620,Metro,3.8% Organic Whole Milk,4l,Organic Meadow,11.79,$0.29 /100ml,0.29
2321623,Metro,2% Organic Lactose Free Milk,2l,Organic Meadow,7.69,$0.38 /100ml,0.38
2321624,Metro,3.8% Organic Whole Milk,2l,Organic Meadow,7.99,$0.40 /100ml,0.4
2321632,Metro,2% Organic Partly Skimmed Milk,4l,Organic Meadow,11.49,$0.29 /100ml,0.29
2321639,Metro,Coconut Milk,1l,Chaokoh,4.99,$0.50 /100ml,0.5
2321642,Metro,Coconut Milk,400ml,Cool Runnings,1.79,$0.45 /100ml,0.45
2321643,Metro,Coconut Milk,400ml,Aroy-D,3.29,$0.82 /100ml,0.82
2321644,Metro,Coconut Milk Powder,50g,Grace,1.29,$2.58 /100g,2.58
2321677,Metro,"2% Lactose Free Milk, Fine-Filtered",4l,Natrel,10.59,$0.26 /100ml,0.26
2321839,Metro,1% Lactose Free Milk,4l,Lactantia,9.99,$0.25 /100ml,0.25
2321847,Metro,1% Milk,2l,Beatrice,5.39,$0.27 /100ml,0.27
2321894,Metro,"Original Goat's Milk Cheese, Artisan",113g,Irrésistible,2/$10.00,$5.99 ea.$4.42 /100g,4.42
2321895,Metro,"Cranberry Goat's Milk Cheese, Artisan",113g,Irrésistible,2/$10.00,$5.99 ea.$4.42 /100g,4.42
2321912,Metro,"Everything Bagel Goat's Milk Cheese, Artisan",113g,Irrésistible,2/$10.00,$5.99 ea.$4.42 /100g,4.42
2321915,Metro,1% Organic Milk,1.5l,Lactantia,6.69,$0.45 /100ml,0.45
2321921,Metro,30% Less Fat Goat's Milk Cheese,113g,Life Smart,2/$10.00,$5.99 ea.$4.42 /100g,4.42
2321922,Metro,"Fine Herbs Goat's Milk Cheese, Artisan",113g,Irrésistible,2/$10.00,$5.99 ea.$4.42 /100g,4.42
2321943,Metro,"0% Lactose Free Milk, Fine-Filtered",4l,Natrel,10.69,$0.27 /100ml,0.27
2321946,Metro,1% Buttermilk,1l,Beatrice,4.29,$0.43 /100ml,0.43
2321947,Metro,"3.8% Organic Milk, Fine-Filtered",2l,Natrel,7.59,$0.38 /100ml,0.38
2321959,Metro,"Vanilla Flavoured 1% Protein Milk, Plus",2l,Natrel,7.59,$0.38 /100ml,0.38
